Day;Hour;Price (Kč/MWh)
07.02.2024;24;1 957,68
08.02.2024;1;1 839,18
08.02.2024;2;1 826,71
08.02.2024;3;1 800,50
08.02.2024;4;1 798,76
08.02.2024;5;1 814,98
08.02.2024;6;1 945,24
08.02.2024;7;2 290,37
08.02.2024;8;2 730,58
08.02.2024;9;3 228,93
08.02.2024;10;2 745,05
08.02.2024;11;2 359,99
08.02.2024;12;2 226,49
08.02.2024;13;2 132,90
08.02.2024;14;2 201,03
08.02.2024;15;2 336,79
08.02.2024;16;2 395,18
08.02.2024;17;2 487,27
08.02.2024;18;2 722,34
08.02.2024;19;2 555,89
